Time,Cloudiness (%),Temp (°C),Humidity (%),Wind Speed (m/s)
01/01/18 6:00,8.41,-20.63,70.64,2.376
01/01/18 7:00,23.18,-22.08,73.5,2.819
01/01/18 8:00,31.18,-20.8,74.98,2.5
01/01/18 9:00,23.36,-21.23,75.05,1.579
01/01/18 10:00,22.84,-20.88,76.41,1.579
01/01/18 11:00,65.22,-20.1,77.29,1.239
01/01/18 12:00,52.11,-19.2,76.86,1.91
01/01/18 13:00,29.67,-18.84,77.02,2.098
01/01/18 14:00,32.45,-19.1,78.22,3.466
01/01/18 15:00,69.93,-16.16,77.01,5.182
01/01/18 16:00,77.04,-14.23,72.77,6.473
01/01/18 17:00,65.43,-12.85,67.68,7.71
01/01/18 18:00,68.39,-11.69,64.58,8.415
01/01/18 19:00,81.25,-11.31,63.69,6.644
01/01/18 20:00,81.9,-10.66,63.69,8.35
01/01/18 21:00,82.43,-11.79,68.97,7.857
01/01/18 22:00,63.42,-12.03,62.02,6.498
01/01/18 23:00,57.73,-12.79,65.09,6.727
02/01/18 0:00,52.22,-13.41,65.19,6.578
02/01/18 1:00,71.97,-13.94,66.59,6.527
02/01/18 2:00,52.93,-14.47,68.25,5.093
02/01/18 3:00,49.09,-14.92,69.68,5.015
02/01/18 4:00,58.36,-14.72,70.91,5.04
02/01/18 5:00,81.14,-13.79,70.07,4.395
02/01/18 6:00,87.37,-13.54,70.61,3.419
02/01/18 7:00,85.41,-13.2,71.7,4.368
02/01/18 8:00,84.03,-13.48,74.66,3.861
02/01/18 9:00,82.29,-13.3,77.88,3.911
02/01/18 10:00,82.97,-13.61,78.62,4.036
02/01/18 11:00,88.42,-13.14,79.32,5.612
02/01/18 12:00,86.99,-12.69,77.91,8.05
02/01/18 13:00,72.3,-13.14,77.23,7.593
02/01/18 14:00,91.52,-13.1,77.13,8.618
02/01/18 15:00,92.9,-13.12,76.26,7.464
02/01/18 16:00,85.77,-12.34,74.74,6.732
02/01/18 17:00,86.3,-11.44,73.24,7.699
02/01/18 18:00,92.71,-10.66,71.97,7.845
02/01/18 19:00,92.22,-9.8,71.58,9.314
02/01/18 20:00,84.06,-9.32,70.32,8.832
02/01/18 21:00,88.56,-9.22,70.56,9.242
02/01/18 22:00,84.73,-9.59,71.1,8.635
02/01/18 23:00,86.57,-9.65,70.32,7.182
03/01/18 0:00,85.48,-10.65,72.35,6.782
03/01/18 1:00,83.06,-10.86,72.04,5.865
03/01/18 2:00,69.7,-11.15,70.87,6.679
03/01/18 3:00,76.2,-11.73,69.88,5.062
03/01/18 4:00,85.15,-11.88,69.12,6.801
03/01/18 5:00,76.24,-12.09,68.96,8.697
03/01/18 6:00,70.16,-12.35,66.14,8.712
03/01/18 7:00,73.11,-12.5,62.72,6.704
03/01/18 8:00,86.14,-12.58,61.73,7.007
03/01/18 9:00,83.72,-12.35,59.48,6.845
03/01/18 10:00,83.34,-11.67,57.5,7.615
03/01/18 11:00,86.05,-11.27,57.49,5.491
03/01/18 12:00,90.77,-11.2,54.9,6.682
03/01/18 13:00,91.44,-10.84,53.48,6.505
03/01/18 14:00,87.69,-11.08,58.66,5.54
03/01/18 15:00,89.55,-10.26,57.57,4.656
03/01/18 16:00,80.14,-8.93,57.8,4.398
03/01/18 17:00,88.08,-8.59,64.89,6.469
03/01/18 18:00,87.21,-7.66,64.54,7.332
03/01/18 19:00,88.08,-7.4,65.2,6.722
03/01/18 20:00,93.83,-7.14,67.83,6.18
03/01/18 21:00,98.39,-7.34,71.61,5.946
03/01/18 22:00,97.85,-7.52,72.8,5.897
03/01/18 23:00,100,-7.55,75.55,4.936
04/01/18 0:00,98.92,-7.93,72.31,6.511
04/01/18 1:00,99.36,-8.28,72.55,5.738
