date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2021-12-03 19:00:00 EST",1638576000,98.3,101.93,WNW,29,4,,66,-9,-3.5,-5,,,,,,,,-3.5,-3.6
"2021-12-03 18:00:00 EST",1638572400,98.28,101.91,WSW,26,5,,67,-8.9,-3.6,-6,,,2,,,,,-3.6,-4.2
"2021-12-03 17:00:00 EST",1638568800,98.29,101.91,W,28,5,,63,-9.8,-3.8,-6,,,2,,,,,-2.9,-3.8
"2021-12-03 16:00:00 EST",1638565200,98.27,101.89,NW,32,14,,54,-11,-2.9,-8,,,2,,,,,-2.3,-2.9
"2021-12-03 15:00:00 EST",1638561600,98.22,101.84,WNW,30,16,,50,-11.5,-2.4,-8,,,2,,,,,-1.9,-2.5
"2021-12-03 14:00:00 EST",1638558000,98.23,101.84,WNW,29,18,28,41,-13.8,-2.2,-8,,,2,,,,,-1.8,-2.4
"2021-12-03 13:00:00 EST",1638554400,98.25,101.86,WNW,30,15,,44,-12.8,-2.1,-7,,,1.9,,,,,-1.8,-2.8
"2021-12-03 12:00:00 EST",1638550800,98.27,101.88,NNW,33,16,,41,-14,-2.6,-8,,,1.8,,,,,-2.5,-3.1
"2021-12-03 11:00:00 EST",1638547200,98.34,101.96,NW,31,18,,58,-10.2,-3.1,-9,,,1.9,,,,,-3.1,-3.9
"2021-12-03 10:00:00 EST",1638543600,98.34,101.96,NNW,34,14,,73,-8.1,-3.9,-9,,,1.9,,,,,-3.9,-4.8
"2021-12-03 09:00:00 EST",1638540000,98.29,101.91,NNW,35,11,,75,-8.6,-4.8,-9,,,1.9,,,,,-4.6,-5.1
"2021-12-03 08:00:00 EST",1638536400,98.25,101.86,N,35,13,,76,-8.1,-4.6,-10,,,1.8,,,,,-4.1,-4.6
"2021-12-03 07:00:00 EST",1638532800,98.15,101.75,N,35,16,,75,-7.9,-4.1,-10,,,1.8,,,,,-3.7,-4.2
"2021-12-03 06:00:00 EST",1638529200,98.05,101.65,NNW,35,17,27,76,-7.3,-3.7,-9,,,1.8,,,,,-3.4,-3.8
"2021-12-03 05:00:00 EST",1638525600,97.93,101.52,NNW,34,16,,76,-7.1,-3.5,-9,,,1.8,,,,,-3.2,-3.5
"2021-12-03 04:00:00 EST",1638522000,97.93,101.51,NNW,34,18,,76,-6.8,-3.2,-9,,,1.8,,,,,-2.9,-3.2
"2021-12-03 03:00:00 EST",1638518400,97.9,101.47,NNW,35,20,29,77,-6.4,-2.9,-9,,,1.8,,,,,-2.6,-2.9
"2021-12-03 02:00:00 EST",1638514800,97.81,101.37,NNW,35,16,,77,-6.1,-2.6,-8,,,1.8,,,,,-2.1,-2.6
"2021-12-03 01:00:00 EST",1638511200,97.75,101.32,NW,32,13,,76,-5.8,-2.1,-7,,,1.7,,,,,-1.8,-2.1
"2021-12-03 00:00:00 EST",1638507600,97.64,101.19,NNW,34,15,,74,-5.9,-1.9,-7,,,1.6,,,,,-1.9,-2.1
"2021-12-02 23:00:00 EST",1638504000,97.55,101.1,NNW,34,14,,73,-6.2,-1.9,-7,,,1.6,,,,,-1.5,-2
"2021-12-02 22:00:00 EST",1638500400,97.48,101.03,NW,32,25,40,71,-6.1,-1.5,-8,,,1.6,,,,,-0.9,-1.5
"2021-12-02 21:00:00 EST",1638496800,97.32,100.87,NNW,34,21,37,73,-5.1,-0.9,-7,,,1.6,,,,,0.3,-0.9
