date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2021-12-03 19:00:00 EST",1638576000,,,NNW,34,,,79,-4.1,-0.9,,,,,,,,,-0.7,-0.9
"2021-12-03 18:00:00 EST",1638572400,,,WNW,30,,,76,-4.4,-0.7,,,,2.2,,,,,-0.5,-0.7
"2021-12-03 17:00:00 EST",1638568800,,,WNW,29,,,76,-4.2,-0.5,,,,2.2,,,,,-0.3,-0.6
"2021-12-03 16:00:00 EST",1638565200,,,WNW,29,,,73,-4.5,-0.4,,,,2.1,,,,,0.1,-0.4
"2021-12-03 15:00:00 EST",1638561600,,,WNW,29,,,74,-4.1,0,,,,2.1,,,,,0.3,0
"2021-12-03 14:00:00 EST",1638558000,,,W,27,,,72,-4.4,0.1,,,,2.1,,,,,0.3,0
"2021-12-03 13:00:00 EST",1638554400,,,NW,30,,,72,-4.2,0.3,,,,2.1,,,,,0.3,-0.2
"2021-12-03 12:00:00 EST",1638550800,,,NW,31,,,71,-4.7,0,,,,2.1,,,,,0.2,-0.2
"2021-12-03 11:00:00 EST",1638547200,,,NW,32,,,71,-4.6,-0.1,,,,2.1,,,,,-0.1,-0.8
"2021-12-03 10:00:00 EST",1638543600,,,NNW,34,,,74,-4.8,-0.8,,,,2.2,,,,,-0.8,-1
"2021-12-03 09:00:00 EST",1638540000,,,NW,31,,,74,-5,-0.9,,,,2.1,,,,,-0.9,-1
"2021-12-03 08:00:00 EST",1638536400,,,NW,32,,,73,-5.3,-1,,,,2.1,,,,,-0.6,-1
"2021-12-03 07:00:00 EST",1638532800,,,NW,31,,,73,-4.9,-0.6,,,,2,,,,,-0.3,-0.6
"2021-12-03 06:00:00 EST",1638529200,,,NW,31,,,74,-4.3,-0.3,,,,2,,,,,-0.3,-0.4
"2021-12-03 05:00:00 EST",1638525600,,,WNW,29,,,75,-4.4,-0.4,,,,2,,,,,-0.4,-0.7
"2021-12-03 04:00:00 EST",1638522000,,,WNW,29,,,77,-4.2,-0.7,,,,2,,,,,-0.3,-0.9
"2021-12-03 03:00:00 EST",1638518400,,,NW,30,,,74,-4.3,-0.3,,,,2,,,,,-0.2,-0.4
"2021-12-03 02:00:00 EST",1638514800,,,NW,31,,,75,-4.3,-0.4,,,,2,,,,,0.2,-0.4
"2021-12-03 01:00:00 EST",1638511200,,,NW,31,,,74,-3.9,0.2,,,,2,,,,,0.2,0.1
"2021-12-03 00:00:00 EST",1638507600,,,NW,32,,,74,-3.9,0.2,,,,2,,,,,0.4,0.2
"2021-12-02 23:00:00 EST",1638504000,,,NW,31,,,75,-3.5,0.4,,,,2,,,,,0.8,0.4
"2021-12-02 22:00:00 EST",1638500400,,,NW,31,,,74,-3.4,0.8,,,,1.9,,,,,1.5,0.8
"2021-12-02 21:00:00 EST",1638496800,,,NW,32,,,82,-1.3,1.4,,,,1.9,,,,,1.7,1.3
"2021-12-02 20:00:00 EST",1638493200,,,WNW,29,,,82,-1.1,1.7,,,,1.9,,,,,1.9,1.3
"2021-12-02 19:00:00 EST",1638489600,,,WNW,29,,,78,-1.5,1.9,,,,1.9,,,,,3.1,1.8
"2021-12-02 18:00:00 EST",1638486000,,,WNW,29,,,78,-0.5,3.1,,,,1.9,,,,,3.4,3
"2021-12-02 17:00:00 EST",1638482400,,,WNW,29,,,83,0.7,3.3,,,,1.9,,,,,4.3,2.4
"2021-12-02 16:00:00 EST",1638478800,,,WNW,29,,,87,2.3,4.3,,,,1.9,,,,,4.9,3.8
"2021-12-02 15:00:00 EST",1638475200,,,WNW,28,,,85,2.2,4.5,,,,2,,,,,7,3.5
"2021-12-02 14:00:00 EST",1638471600,,,W,27,,,66,1.1,7,,,,2.1,,,,,7,6.8
"2021-12-02 13:00:00 EST",1638468000,,,WNW,28,,,61,0.1,7,,,,2.1,,,,,7.8,7
"2021-12-02 12:00:00 EST",1638464400,,,WNW,28,,,76,3.6,7.6,,,,2.2,,,,,8.3,7.6
"2021-12-02 11:00:00 EST",1638460800,,,W,26,,,77,4.2,8,,,,2.3,,,,,8,7.5
"2021-12-02 10:00:00 EST",1638457200,,,WSW,25,,,84,4.9,7.5,,,,2.3,,,,,7.5,7.1
"2021-12-02 09:00:00 EST",1638453600,,,SW,22,,,87,5.2,7.2,,,,2.4,,,,,7.2,6.3
"2021-12-02 08:00:00 EST",1638450000,,,SW,21,,,92,5.1,6.3,,,,2.3,,,,,6.3,5.9
"2021-12-02 07:00:00 EST",1638446400,,,SW,21,,,93,4.8,5.9,,,,2.3,,,,,5.9,5.7
"2021-12-02 06:00:00 EST",1638442800,,,SSW,21,,,92,4.6,5.7,,,,2.3,,,,,5.8,5.4
"2021-12-02 05:00:00 EST",1638439200,,,SW,22,,,96,4.8,5.4,,,,2.2,,,,,5.4,4.8
"2021-12-02 04:00:00 EST",1638435600,,,SSW,21,,,98,4.5,4.9,,,,2.2,,,,,4.9,4.5
"2021-12-02 03:00:00 EST",1638432000,,,SSW,20,,,97,4.1,4.5,,,,2.2,,,,,4.5,3.9
"2021-12-02 02:00:00 EST",1638428400,,,S,18,,,97,3.5,3.9,,,,2.3,,,,,3.9,3.5
"2021-12-02 01:00:00 EST",1638424800,,,SSW,19,,,96,3,3.5,,,,2.3,,,,,3.6,2.8
"2021-12-02 00:00:00 EST",1638421200,,,S,18,,,94,1.9,2.8,,,,2.3,,,,,2.8,2.6
"2021-12-01 23:00:00 EST",1638417600,,,S,17,,,85,0.6,2.8,,,,2.3,,,,,2.8,2.6
"2021-12-01 22:00:00 EST",1638414000,,,SSE,15,,,79,-0.6,2.6,,,,2.3,,,,,2.7,1.9
"2021-12-01 21:00:00 EST",1638410400,,,SSE,15,,,81,-0.9,1.9,,,,2.3,,,,,1.9,0.8
"2021-12-01 20:00:00 EST",1638406800,,,SE,13,,,85,-1.4,0.8,,,,2.3,,,,,1.7,0.7
"2021-12-01 19:00:00 EST",1638403200,,,SSE,14,,,84,-0.9,1.5,,,,,,,,,1.8,1.4
"2021-12-01 18:00:00 EST",1638399600,,,SSE,14,,,84,-0.5,1.8,,,,2.3,,,,,2.2,1.8
"2021-12-01 17:00:00 EST",1638396000,,,S,17,,,83,-0.5,2.1,,,,2.3,,,,,2.8,2.1
"2021-12-01 16:00:00 EST",1638392400,,,SSE,16,,,75,-1.3,2.7,,,,2.3,,,,,2.9,2.7
"2021-12-01 15:00:00 EST",1638388800,,,SSW,20,,,73,-1.6,2.9,,,,2.2,,,,,3.2,2.7
"2021-12-01 14:00:00 EST",1638385200,,,SSW,20,,,68,-2.3,3.1,,,,2.2,,,,,3.4,3
"2021-12-01 13:00:00 EST",1638381600,,,SSW,20,,,60,-3.8,3.3,,,,2.1,,,,,3.3,2.6
"2021-12-01 12:00:00 EST",1638378000,,,W,25,,,67,-2.7,2.8,,,,2.1,,,,,3,1.9
"2021-12-01 11:00:00 EST",1638374400,,,WSW,25,,,71,-2.8,2,,,,2.2,,,,,2.2,1.2
"2021-12-01 10:00:00 EST",1638370800,,,WSW,23,,,82,-1.5,1.2,,,,2.3,,,,,1.2,0.8
"2021-12-01 09:00:00 EST",1638367200,,,SW,23,,,85,-1.4,0.8,,,,2.4,,,,,0.8,0
"2021-12-01 08:00:00 EST",1638363600,,,SW,22,,,84,-2.3,0,,,,2.5,,,,,0,-0.7
"2021-12-01 07:00:00 EST",1638360000,,,WSW,25,,,77,-4.2,-0.7,,,,2.4,,,,,-0.7,-1.5
"2021-12-01 06:00:00 EST",1638356400,,,WSW,24,,,77,-4.7,-1.2,,,,2.3,,,,,0.3,-1.2
"2021-12-01 05:00:00 EST",1638352800,,,W,26,,,72,-4.2,0.3,,,,2.2,,,,,0.8,0.3
"2021-12-01 04:00:00 EST",1638349200,,,WSW,25,,,72,-3.7,0.7,,,,2.2,,,,,1.1,0.7
"2021-12-01 03:00:00 EST",1638345600,,,W,27,,,73,-3.2,1,,,,2.1,,,,,1.2,1
"2021-12-01 02:00:00 EST",1638342000,,,W,27,,,74,-3.1,1.1,,,,2,,,,,1.4,1.1
"2021-12-01 01:00:00 EST",1638338400,,,W,28,,,80,-1.8,1.4,,,,1.9,,,,,1.5,1.3
"2021-12-01 00:00:00 EST",1638334800,,,WNW,28,,,84,-0.8,1.5,,,,2,,,,,1.7,1.5
