date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2021-12-03 19:00:00 EST",1638576000,,,,,,,,,,,,,,,,,,,
"2021-12-03 18:00:00 EST",1638572400,100.6,101.9,NNW,34,5,,80,-2.1,1,,,24100,,,8,,,2.6,2.2
"2021-12-03 17:00:00 EST",1638568800,100.57,101.87,WSW,25,6,,76,-2.4,1.3,,,24100,2.2,,8,,,2.8,2.6
"2021-12-03 16:00:00 EST",1638565200,100.51,101.81,WSW,25,9,,71,-3,1.6,,,24100,2.1,,8,,,3,2.8
"2021-12-03 15:00:00 EST",1638561600,100.47,101.77,WSW,24,12,,69,-3.2,1.8,,,24100,2.2,,8,,,3.1,2.9
"2021-12-03 14:00:00 EST",1638558000,100.54,101.83,SSW,21,6,,66,-3.9,1.7,,,24100,2.2,,8,,,3.1,2.9
"2021-12-03 13:00:00 EST",1638554400,100.58,101.87,WSW,26,8,,64,-4.6,1.5,,,24100,2.2,,8,,,3.1,2.6
"2021-12-03 12:00:00 EST",1638550800,100.6,101.89,W,28,11,,63,-4.5,1.7,,,24100,2.2,,8,,,2.8,2.3
"2021-12-03 11:00:00 EST",1638547200,100.68,101.97,NW,31,9,,64,-4.7,1.3,,,24100,2.2,,8,,,2.5,2.1
"2021-12-03 10:00:00 EST",1638543600,100.66,101.95,NNW,33,10,,65,-4.9,0.9,,,24100,2.2,,8,,,2.1,1.8
"2021-12-03 09:00:00 EST",1638540000,100.64,101.94,NW,30,10,,70,-4.4,0.5,,,24100,2.1,,8,,,1.8,1.5
"2021-12-03 08:00:00 EST",1638536400,100.59,101.88,W,28,9,,83,-2.2,0.3,,,24100,2,,7,,,1.6,1.1
"2021-12-03 07:00:00 EST",1638532800,100.5,101.79,W,27,4,,88,-1.8,-0.1,-1,,24100,1.9,,8,,,1.1,0.8
"2021-12-03 06:00:00 EST",1638529200,100.41,101.7,WSW,24,6,,88,-2.2,-0.5,-3,,24100,1.9,,8,,,0.8,0.6
"2021-12-03 05:00:00 EST",1638525600,100.31,101.6,WSW,24,9,,86,-2.7,-0.7,-4,,24100,2,,8,,,1.5,0.7
"2021-12-03 04:00:00 EST",1638522000,100.3,101.59,WSW,25,10,,83,-3.2,-0.6,-4,,24100,2,,7,,,2.1,1.5
"2021-12-03 03:00:00 EST",1638518400,100.27,101.54,W,26,9,,77,-3.6,0,-3,,24100,2.1,,8,,,2.2,1.8
"2021-12-03 02:00:00 EST",1638514800,100.18,101.45,WNW,30,11,,73,-4.1,0.1,,,24100,2.1,,5,,,2.5,2.2
"2021-12-03 01:00:00 EST",1638511200,100.15,101.42,WNW,28,12,,69,-3.8,1.2,,,24100,2.1,,8,,,2.8,2.4
"2021-12-03 00:00:00 EST",1638507600,100.07,101.33,WNW,30,17,27,69,-3.6,1.4,,,24100,2,,8,,,3,2.7
"2021-12-02 23:00:00 EST",1638504000,98.32,101.24,NW,32,23,35,70,-2.9,2,,,24100,2,,8,,,3.8,3
"2021-12-02 22:00:00 EST",1638500400,98.23,101.11,WNW,30,18,36,75,-1.6,2.4,,,24100,2,,8,,,3.8,3.6
"2021-12-02 21:00:00 EST",1638496800,98.07,100.94,NW,31,19,32,76,-1.4,2.4,,,24100,2,,8,,,3.8,3.4
"2021-12-02 20:00:00 EST",1638493200,97.97,100.83,W,27,25,35,73,-1.7,2.8,,,24100,2,,2,,,4.8,3.6
"2021-12-02 19:00:00 EST",1638489600,97.79,100.66,WNW,29,28,44,66,-1.9,3.9,,,24100,2,,3,,,5.8,4.9
"2021-12-02 18:00:00 EST",1638486000,97.65,100.51,WNW,29,27,41,75,0.2,4.2,,,24100,1.9,,2,,,5.8,5.5
"2021-12-02 17:00:00 EST",1638482400,97.52,100.36,W,27,31,54,75,1,5,,,24100,2,,5,,,6.2,5.5
"2021-12-02 16:00:00 EST",1638478800,97.34,100.21,W,28,26,48,68,1.3,6.8,,,24100,2,,7,,,8.9,6.2
"2021-12-02 15:00:00 EST",1638475200,97.22,100.03,W,27,19,48,65,1.3,7.4,,,24100,2,,7,,,9.4,8.9
"2021-12-02 14:00:00 EST",1638471600,97.1,99.91,W,28,34,47,59,0.5,8.1,,,24100,2,,8,,,10.4,9.3
"2021-12-02 13:00:00 EST",1638468000,97.05,99.85,W,27,21,37,71,4,9.1,,,24100,2.2,,7,,,10.9,10.4
"2021-12-02 12:00:00 EST",1638464400,97,99.79,WSW,25,29,49,73,4.8,9.3,,,24100,2.4,,7,,,10.7,10.5
"2021-12-02 11:00:00 EST",1638460800,97.05,99.85,WSW,24,36,52,78,5.7,9.4,,,24100,2.5,,7,,,10.7,10.2
"2021-12-02 10:00:00 EST",1638457200,96.99,99.79,SW,23,29,48,84,6.2,8.7,,,24100,2.5,,7,,,10.3,9.3
"2021-12-02 09:00:00 EST",1638453600,97.06,99.86,SW,22,39,54,88,6.1,8.1,,,19300,2.5,,8,,,9.3,8
"2021-12-02 08:00:00 EST",1638450000,97.12,99.94,SSW,21,31,49,94,6,6.8,,,11300,2.5,,8,,,8.1,7.8
"2021-12-02 07:00:00 EST",1638446400,97.15,99.97,SSW,20,32,51,92,5.6,6.7,,,19300,2.6,,8,,,8.5,7.7
"2021-12-02 06:00:00 EST",1638442800,97.28,100.11,SW,22,37,50,88,5.1,7,,,19300,2.5,,8,,,8.5,8
"2021-12-02 05:00:00 EST",1638439200,97.38,100.19,SW,22,43,60,95,6,6.7,,,9700,2.4,,8,,,8,7.5
"2021-12-02 04:00:00 EST",1638435600,97.45,100.27,SW,22,33,,96,5.7,6.3,,,8100,2.4,,8,,,7.7,7.3
"2021-12-02 03:00:00 EST",1638432000,97.5,100.36,SSW,20,31,42,95,5.4,6,,,9700,2.4,,8,,,7.3,6.5
"2021-12-02 02:00:00 EST",1638428400,97.66,100.53,SW,21,25,35,95,4.8,5.5,,,9700,2.4,,8,,,6.5,5.4
"2021-12-02 01:00:00 EST",1638424800,97.8,100.65,SW,22,20,,97,4.6,5,,,9700,2.4,,8,,,5.5,5.2
"2021-12-02 00:00:00 EST",1638421200,97.89,100.78,SSW,20,16,,92,3.4,4.6,,,8100,2.5,,8,,,5.7,4.5
"2021-12-01 23:00:00 EST",1638417600,97.92,100.81,S,17,16,,91,3,4.4,,,12900,2.6,,8,,,5,4
"2021-12-01 22:00:00 EST",1638414000,98.11,101,S,18,16,,80,0.8,3.9,,,24100,2.6,,8,,,4.4,3.9
"2021-12-01 21:00:00 EST",1638410400,98.25,101.17,SSE,17,9,,78,-0.3,3.1,,,24100,2.4,,8,,,4.2,2.9
"2021-12-01 20:00:00 EST",1638406800,98.36,101.32,SSE,16,10,,77,-1.2,2.3,,,24100,2.4,,8,,,4.5,3.6
"2021-12-01 19:00:00 EST",1638403200,98.48,101.42,SE,14,16,,78,-0.7,2.8,,,24100,,,7,,,4.4,4.2
"2021-12-01 18:00:00 EST",1638399600,98.66,101.6,SE,15,13,,79,-0.3,2.9,,,24100,2.3,,8,,,4.6,4.3
"2021-12-01 17:00:00 EST",1638396000,98.71,101.67,SSE,16,10,,78,-0.3,3.1,,,24100,2.3,,8,,,5,4.6
"2021-12-01 16:00:00 EST",1638392400,98.75,101.66,SSW,20,13,,76,-0.4,3.4,,,24100,2.3,,8,,,5.2,5
"2021-12-01 15:00:00 EST",1638388800,98.74,101.68,SSW,20,14,,73,-0.8,3.6,,,24100,2.2,,8,,,5.8,5.2
"2021-12-01 14:00:00 EST",1638385200,98.76,101.69,SSW,19,22,,72,-0.6,4,,,24100,2.1,,8,,,6.4,5.7
"2021-12-01 13:00:00 EST",1638381600,98.88,101.8,SSW,20,18,28,66,-1.7,4.1,,,24100,2.1,,7,,,6.2,5.5
"2021-12-01 12:00:00 EST",1638378000,98.98,101.92,SW,22,15,,62,-2.7,3.9,,,24100,2.1,,8,,,6,4.5
"2021-12-01 11:00:00 EST",1638374400,99.06,102,SW,23,13,,72,-1.9,2.6,,,24100,2.2,,7,,,4.5,3
"2021-12-01 10:00:00 EST",1638370800,99.1,102.04,SW,23,13,,84,-1.4,1,,,24100,2.2,,8,,,3.1,1.7
"2021-12-01 09:00:00 EST",1638367200,99.12,102.06,SW,23,9,,89,-1.5,0,-3,,24100,2.1,,8,,,1.7,1.1
"2021-12-01 08:00:00 EST",1638363600,99.06,102,SW,22,7,,93,-1.6,-0.6,-3,,24100,2.1,,7,,,1.1,0.4
"2021-12-01 07:00:00 EST",1638360000,98.98,101.92,SW,24,10,,93,-1.9,-0.8,-4,,24100,2,,7,,,0.8,0.3
"2021-12-01 06:00:00 EST",1638356400,98.94,101.89,WSW,24,10,,90,-1.9,-0.5,-4,,24100,2,,7,,,1.8,0.7
"2021-12-01 05:00:00 EST",1638352800,98.91,101.85,WSW,24,13,,88,-1.7,0.1,,,24100,2,,7,,,2.3,1.8
"2021-12-01 04:00:00 EST",1638349200,98.87,101.79,SW,23,11,,87,-1.2,0.6,,,24100,2,,7,,,2.3,2.1
"2021-12-01 03:00:00 EST",1638345600,98.85,101.77,SW,24,11,,87,-1,0.9,,,24100,1.9,,7,,,2.5,2.1
"2021-12-01 02:00:00 EST",1638342000,98.79,101.7,WSW,24,14,,92,-0.6,0.7,,,24100,1.9,,7,,,2.6,2.3
"2021-12-01 01:00:00 EST",1638338400,98.68,101.59,WSW,24,18,,92,-0.4,0.8,,,24100,2,,7,,,2.7,2.3
"2021-12-01 00:00:00 EST",1638334800,98.61,101.51,WSW,24,26,,88,-0.5,1.4,,,24100,2,,8,,,3,2.5
"2021-11-30 23:00:00 EST",1638331200,98.52,101.42,SW,23,19,30,90,-0.3,1.3,,,24100,2,,8,,,3,2.5
"2021-11-30 22:00:00 EST",1638327600,98.46,101.35,WSW,25,26,,92,-0.1,1,,,8100,2.2,,8,,,2.8,2.6
"2021-11-30 21:00:00 EST",1638324000,98.38,101.28,WSW,24,19,,91,-0.1,1.3,,,24100,2.5,,8,,,2.6,2.4
"2021-11-30 20:00:00 EST",1638320400,98.32,101.23,SW,23,20,30,92,-0.1,1,,,19300,2.8,,8,,,2.5,2.3
"2021-11-30 19:00:00 EST",1638316800,98.24,101.14,WSW,24,20,30,94,0,0.9,,,9700,3,,8,,,2.6,2.4
"2021-11-30 18:00:00 EST",1638313200,98.16,101.08,WSW,26,22,33,94,0.2,1,,,8100,2.9,,8,,,2.8,2.3
"2021-11-30 17:00:00 EST",1638309600,98.13,101.05,WSW,24,18,,87,-0.5,1.5,,,19300,2.7,,8,,,3,2.7
"2021-11-30 16:00:00 EST",1638306000,98.11,101.04,WSW,25,17,,84,-0.8,1.7,,,24100,2.6,,7,,,3.8,2.9
"2021-11-30 15:00:00 EST",1638302400,98.08,101.02,SW,23,13,,84,-0.4,1.9,,,24100,2.6,,5,,,3.8,2.8
"2021-11-30 14:00:00 EST",1638298800,98.05,100.99,SSW,21,10,,87,-0.5,1.4,,,19300,2.7,,7,,,3.4,2.8
"2021-11-30 13:00:00 EST",1638295200,98.1,101.03,SW,24,9,,89,-0.8,0.8,,,12900,2.8,,8,,,3.7,2.1
"2021-11-30 12:00:00 EST",1638291600,98.19,101.15,WSW,25,8,,90,-1.1,0.3,,,12900,2.9,,7,,,2.4,1.2
