date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2021-12-03 19:00:00 EST",1638576000,100.69,101.84,W,27,13,,37,-15.4,-2.8,-7,,24100,,,4,,,-2.7,-3.1
"2021-12-03 18:00:00 EST",1638572400,100.65,101.8,WNW,28,11,,38,-15.2,-2.8,-7,,24100,1.9,,5,,,-2,-3
"2021-12-03 17:00:00 EST",1638568800,100.68,101.84,W,27,13,,35,-15.3,-2,-6,,24100,1.9,,5,,,-1.2,-2.1
"2021-12-03 16:00:00 EST",1638565200,100.59,101.75,W,28,19,,30,-16.4,-1.2,-7,,24100,1.9,,3,,,-0.1,-1.2
"2021-12-03 15:00:00 EST",1638561600,100.53,101.69,W,26,15,,35,-13.7,-0.2,-5,,24100,1.9,,2,,,0.3,-0.3
"2021-12-03 14:00:00 EST",1638558000,100.55,101.71,W,28,12,,38,-12.9,-0.2,-4,,24100,1.9,,2,,,0.1,-0.5
"2021-12-03 13:00:00 EST",1638554400,100.55,101.71,NW,31,14,,33,-14.6,-0.3,-5,,24100,1.9,,2,,,-0.2,-0.9
"2021-12-03 12:00:00 EST",1638550800,100.56,101.72,WNW,29,21,31,32,-15.5,-0.8,-6,,24100,1.9,,1,,,-0.6,-1.1
"2021-12-03 11:00:00 EST",1638547200,100.59,101.75,W,27,18,,49,-10,-0.7,-6,,24100,1.9,,3,,,-0.5,-1.6
"2021-12-03 10:00:00 EST",1638543600,100.6,101.76,NW,32,22,28,51,-9.9,-1.1,-7,,24100,1.9,,5,,,-0.9,-2.1
"2021-12-03 09:00:00 EST",1638540000,100.54,101.69,NW,32,15,,57,-9.1,-1.6,-6,,24100,1.9,,7,,,-1.6,-1.7
"2021-12-03 08:00:00 EST",1638536400,100.44,101.59,NW,33,18,28,57,-9,-1.6,-7,,24100,1.8,,7,,,-1.3,-1.6
"2021-12-03 07:00:00 EST",1638532800,100.38,101.53,NW,32,19,,57,-8.7,-1.3,-7,,24100,1.7,,7,,,-0.9,-1.3
"2021-12-03 06:00:00 EST",1638529200,100.19,101.34,NW,31,24,,57,-8.4,-0.9,-7,,24100,1.7,,7,,,-0.5,-0.9
"2021-12-03 05:00:00 EST",1638525600,100.15,101.29,W,28,14,,68,-5.6,-0.4,-5,,,1.6,,,,,-0.4,-0.5
"2021-12-03 04:00:00 EST",1638522000,100.1,101.24,WNW,28,9,,68,-5.5,-0.4,-4,,,1.6,,,,,-0.2,-0.4
"2021-12-03 03:00:00 EST",1638518400,100.06,101.2,WNW,28,20,32,63,-6.4,-0.1,-5,,,1.6,,,,,-0.1,-0.2
"2021-12-03 02:00:00 EST",1638514800,99.93,101.07,WNW,30,20,29,64,-6,0,-5,,,1.5,,,,,0.1,-0.1
"2021-12-03 01:00:00 EST",1638511200,99.82,100.96,WNW,29,18,28,64,-5.8,0.1,,,,1.4,,,,,0.4,0
"2021-12-03 00:00:00 EST",1638507600,99.69,100.82,NNW,33,27,40,65,-5.4,0.5,,,,1.3,,,,,1.6,0.4
"2021-12-02 23:00:00 EST",1638504000,99.53,100.66,NW,31,28,42,64,-4.5,1.6,,,24100,1.2,,8,,,2.4,1.6
"2021-12-02 22:00:00 EST",1638500400,99.29,100.42,NW,31,27,44,70,-2.5,2.4,,,24100,1.3,,8,,,3.6,2.3
"2021-12-02 21:00:00 EST",1638496800,99.11,100.23,WNW,28,28,43,78,0.2,3.7,,,24100,1.3,,8,,,4.3,3.5
"2021-12-02 20:00:00 EST",1638493200,98.97,100.09,W,27,20,35,79,0.9,4.2,,,24100,1.4,,5,,,5.2,4.2
"2021-12-02 19:00:00 EST",1638489600,98.87,99.99,W,27,23,39,73,0.8,5.2,,,24100,1.4,,6,,,5.8,5
"2021-12-02 18:00:00 EST",1638486000,98.77,99.89,W,27,31,45,72,1.1,5.9,,,24100,1.6,,6,,,6.5,5.9
"2021-12-02 17:00:00 EST",1638482400,98.66,99.78,W,27,27,42,69,1.4,6.5,,,24100,1.7,,7,,,7.2,6.5
"2021-12-02 16:00:00 EST",1638478800,98.54,99.66,W,27,23,33,77,3.4,7.1,,,24100,1.9,,5,,,7.6,6.2
"2021-12-02 15:00:00 EST",1638475200,98.43,99.55,W,27,21,46,81,3.3,6.2,,,19300,2,,6,,,9.5,6.2
"2021-12-02 14:00:00 EST",1638471600,98.36,99.47,WSW,24,28,41,83,6.1,8.9,,,19300,1.9,,8,,,8.9,8.3
"2021-12-02 13:00:00 EST",1638468000,98.39,99.5,SW,22,27,44,87,6.3,8.3,,,16100,1.8,,8,,,8.4,8
"2021-12-02 12:00:00 EST",1638464400,98.46,99.57,SSW,20,36,47,84,5.8,8.4,,,19300,1.7,,8,,,8.5,7.6
"2021-12-02 11:00:00 EST",1638460800,98.59,99.71,S,18,36,47,91,6.2,7.6,,,16100,1.7,,8,,,7.6,7.2
"2021-12-02 10:00:00 EST",1638457200,98.7,99.82,S,18,40,54,92,6,7.1,,,12900,1.8,,8,,,7.1,7
"2021-12-02 09:00:00 EST",1638453600,98.89,100.01,SSW,19,38,47,91,5.7,7,,,12900,1.9,,8,,,7,6.7
"2021-12-02 08:00:00 EST",1638450000,98.97,100.09,S,19,40,50,88,5.1,7,,,16100,2,,8,,,7.2,6.9
"2021-12-02 07:00:00 EST",1638446400,99.09,100.21,SSW,19,41,55,86,4.8,6.9,,,19300,2.2,,8,,,7,6.3
"2021-12-02 06:00:00 EST",1638442800,99.15,100.28,S,18,35,49,88,4.4,6.3,,,16100,2.2,,8,,,6.3,5.7
"2021-12-02 05:00:00 EST",1638439200,99.25,100.38,S,18,39,48,88,3.9,5.8,,,,2.2,,,,,5.8,5
"2021-12-02 04:00:00 EST",1638435600,99.38,100.51,S,18,37,47,90,3.6,5,,,,2.1,,,,,5.1,4.6
"2021-12-02 03:00:00 EST",1638432000,99.57,100.71,S,18,40,44,92,3.4,4.6,,,,2,,,,,5.4,4.4
"2021-12-02 02:00:00 EST",1638428400,99.68,100.82,S,18,40,48,79,2,5.4,,,,1.9,,,,,5.5,5.1
"2021-12-02 01:00:00 EST",1638424800,99.79,100.93,SSE,17,29,40,76,1.5,5.4,,,,1.8,,,,,5.5,4.7
"2021-12-02 00:00:00 EST",1638421200,99.93,101.07,SSE,17,29,42,75,0.8,4.8,,,,1.8,,,,,4.8,4.6
"2021-12-01 23:00:00 EST",1638417600,100.08,101.22,S,17,32,46,71,0,4.8,,,24100,1.8,,8,,,4.9,4.5
"2021-12-01 22:00:00 EST",1638414000,100.18,101.33,SSE,17,30,41,71,0,4.8,,,24100,1.8,,8,,,4.9,4.5
"2021-12-01 21:00:00 EST",1638410400,100.3,101.45,S,17,31,42,68,-0.8,4.5,,,24100,1.8,,7,,,4.7,4
"2021-12-01 20:00:00 EST",1638406800,100.47,101.62,SSE,17,33,42,72,-0.6,4,,,24100,1.7,,7,,,4.3,3.9
"2021-12-01 19:00:00 EST",1638403200,100.58,101.73,S,17,30,35,71,-0.5,4.3,,,24100,,,8,,,4.3,3.2
"2021-12-01 18:00:00 EST",1638399600,100.7,101.85,SSE,16,23,,74,-0.8,3.3,,,24100,1.7,,8,,,3.7,1.4
"2021-12-01 17:00:00 EST",1638396000,100.69,101.85,ESE,11,8,,75,-2.7,1.3,,,24100,1.7,,8,,,1.7,1.1
"2021-12-01 16:00:00 EST",1638392400,100.68,101.83,SE,14,8,,69,-3.5,1.6,,,24100,1.7,,8,,,1.7,1.4
"2021-12-01 15:00:00 EST",1638388800,100.74,101.89,S,18,8,,61,-5.4,1.4,,,24100,1.7,,7,,,1.8,1.2
"2021-12-01 14:00:00 EST",1638385200,100.75,101.9,W,27,3,,54,-6.7,1.8,,,24100,1.7,,7,,,1.8,1.4
"2021-12-01 13:00:00 EST",1638381600,100.82,101.98,NE,5,4,,52,-7.3,1.4,,,24100,1.6,,7,,,1.5,0.7
"2021-12-01 12:00:00 EST",1638378000,100.93,102.09,WNW,30,5,,53,-7.8,0.7,,,24100,1.5,,8,,,1,0.1
"2021-12-01 11:00:00 EST",1638374400,100.98,102.14,WNW,29,9,,59,-6.8,0.2,,,24100,1.5,,8,,,0.2,-0.2
"2021-12-01 10:00:00 EST",1638370800,100.98,102.14,WNW,28,12,,59,-7.4,-0.2,-4,,24100,1.4,,8,,,-0.2,-0.5
"2021-12-01 09:00:00 EST",1638367200,100.87,102.03,W,26,14,,74,-4.5,-0.5,-5,,24100,1.4,,8,,,-0.4,-0.9
"2021-12-01 08:00:00 EST",1638363600,100.73,101.89,W,27,15,,75,-4.4,-0.5,-5,,24100,1.4,,8,,,-0.5,-1
"2021-12-01 07:00:00 EST",1638360000,100.59,101.75,W,28,10,,78,-3.9,-0.5,-4,,24100,1.3,,7,,,0.6,-0.5
"2021-12-01 06:00:00 EST",1638356400,100.47,101.63,WNW,30,17,29,74,-3.4,0.7,,,24100,1.4,,5,,,1,0.7
"2021-12-01 05:00:00 EST",1638352800,100.32,101.47,WNW,29,18,32,84,-1.3,1.1,,,,1.6,,,,,1.4,1.1
"2021-12-01 04:00:00 EST",1638349200,100.2,101.35,W,26,22,32,88,-0.4,1.4,,,,1.9,,,,,1.8,1.4
"2021-12-01 03:00:00 EST",1638345600,100.11,101.26,W,26,18,30,88,-0.1,1.6,,,,2.2,,,,,2.2,1.5
"2021-12-01 02:00:00 EST",1638342000,100.01,101.16,W,26,18,,90,0,1.5,,,,2.4,,,,,1.6,1.4
