date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2021-12-03 19:00:00 EST",1638576000,,,,,,,,,,,,,,,,,,,
"2021-12-03 18:00:00 EST",1638572400,97.92,101.86,NW,32,4,,78,-4.2,-0.8,-2,,16100,2,4,,,,-0.6,-0.8
"2021-12-03 17:00:00 EST",1638568800,97.89,101.83,NNW,33,8,,77,-4.1,-0.6,-3,,16100,1.9,4,,,,-0.3,-0.6
"2021-12-03 16:00:00 EST",1638565200,97.86,101.8,NW,32,9,,75,-4.2,-0.3,-4,,16090,1.9,4,,,,0.1,-0.3
"2021-12-03 15:00:00 EST",1638561600,97.81,101.74,NW,32,9,,72,-4.4,0.1,,,16100,1.9,4,,,,0.5,0.1
"2021-12-03 14:00:00 EST",1638558000,97.86,101.8,NW,32,8,,71,-4.4,0.3,,,16100,1.9,4,,,,0.6,0.2
"2021-12-03 13:00:00 EST",1638554400,97.89,101.83,WNW,29,8,,69,-4.7,0.3,,,16100,1.9,4,,,,0.6,0.1
"2021-12-03 12:00:00 EST",1638550800,97.9,101.83,NNW,34,11,,67,-5.1,0.3,,,16100,1.9,4,,,,0.7,0.2
"2021-12-03 11:00:00 EST",1638547200,97.99,101.93,NW,31,5,,68,-5,0.2,,,16100,2,4,,,,0.2,-0.5
"2021-12-03 10:00:00 EST",1638543600,97.94,101.88,NNW,33,9,,70,-5.2,-0.4,-4,,16100,2,4,,,,-0.2,-0.7
"2021-12-03 09:00:00 EST",1638540000,97.94,101.88,N,35,9,,71,-5.2,-0.5,-4,,16100,1.9,4,,,,-0.5,-0.8
"2021-12-03 08:00:00 EST",1638536400,97.91,101.85,NW,31,11,,71,-5.4,-0.8,-5,,16100,1.8,4,,,,-0.5,-0.8
"2021-12-03 07:00:00 EST",1638532800,97.82,101.75,NW,31,13,,71,-5.1,-0.5,-5,,16100,1.8,4,,,,-0.3,-0.5
"2021-12-03 06:00:00 EST",1638529200,97.76,101.68,WNW,29,11,,77,-3.9,-0.3,-4,,16100,1.8,4,,,,-0.3,-0.7
"2021-12-03 05:00:00 EST",1638525600,97.63,101.54,WNW,29,9,,77,-4.1,-0.6,-4,,16100,1.8,4,,,,-0.5,-1
"2021-12-03 04:00:00 EST",1638522000,97.61,101.52,W,28,11,,75,-4.6,-0.7,-4,,16100,1.8,4,,,,-0.3,-1.1
"2021-12-03 03:00:00 EST",1638518400,97.59,101.5,NW,31,11,,75,-4.4,-0.5,-4,,16100,1.8,4,,,,-0.3,-0.7
"2021-12-03 02:00:00 EST",1638514800,97.5,101.4,WNW,30,15,,73,-4.8,-0.5,-5,,16100,1.8,3,,,,-0.3,-1.1
"2021-12-03 01:00:00 EST",1638511200,97.46,101.35,NW,32,18,42,71,-5,-0.3,-5,,16100,1.8,2,,,,0.4,-0.3
"2021-12-03 00:00:00 EST",1638507600,97.4,101.28,WNW,30,21,33,71,-4.3,0.4,,,16100,1.7,4,,,,0.6,0.4
"2021-12-02 23:00:00 EST",1638504000,97.33,101.21,NW,31,34,45,71,-4.2,0.6,,,16100,1.7,4,,,,1,0.6
"2021-12-02 22:00:00 EST",1638500400,97.21,101.08,NW,32,34,58,70,-3.9,1,,,16100,1.6,4,,,,1.1,0.9
"2021-12-02 21:00:00 EST",1638496800,97.05,100.92,NW,31,32,46,83,-1.5,1.1,,,16100,1.7,4,,,,1.5,1.1
"2021-12-02 20:00:00 EST",1638493200,96.96,100.83,WNW,29,32,46,85,-1.2,1,,,16100,1.7,1,,,,1.7,1
"2021-12-02 19:00:00 EST",1638489600,96.81,100.67,WNW,30,39,58,76,-2,1.8,,,16100,1.7,1,,,,3.2,1.8
"2021-12-02 18:00:00 EST",1638486000,96.69,100.54,WNW,30,34,52,69,-1.9,3.2,,,16100,1.7,3,,,,3.6,2.9
"2021-12-02 17:00:00 EST",1638482400,96.53,100.38,WNW,29,32,42,75,-0.5,3.5,,,16100,1.7,2,,,,4.8,3.5
"2021-12-02 16:00:00 EST",1638478800,96.38,100.22,W,27,28,50,82,2,4.8,,,16100,,2,,,,5,4
"2021-12-02 15:00:00 EST",1638475200,96.26,100.09,W,28,32,41,82,2.1,4.9,,,16100,,4,,,,6.7,4.4
"2021-12-02 14:00:00 EST",1638471600,96.12,99.94,W,28,39,61,63,0.1,6.6,,,16100,,4,,,,7.1,6.6
"2021-12-02 13:00:00 EST",1638468000,96.06,99.88,W,28,37,58,63,0.6,7.1,,,16100,1.8,4,,,,8.1,7.1
"2021-12-02 12:00:00 EST",1638464400,95.99,99.81,W,27,39,58,72,3.2,7.9,,,16100,2.2,4,,,,8.6,7.8
"2021-12-02 11:00:00 EST",1638460800,96,99.82,W,26,39,55,73,3.5,8,,,16100,2.4,3,,,,8.1,7.6
"2021-12-02 10:00:00 EST",1638457200,96.02,99.84,WSW,24,26,46,82,5,7.8,,,16100,2.5,4,,,,7.9,6.9
"2021-12-02 09:00:00 EST",1638453600,95.88,99.7,SSW,21,34,52,88,5.2,7,,,9700,2.5,3,,,,7,6.6
"2021-12-02 08:00:00 EST",1638450000,96.05,99.88,SW,22,35,45,92,5.3,6.6,,,9700,2.5,4,,,,6.6,5.7
"2021-12-02 07:00:00 EST",1638446400,96.15,99.99,SSW,21,21,33,96,5.2,5.8,,,8100,2.6,4,,,,5.8,5.6
"2021-12-02 06:00:00 EST",1638442800,96.17,100.01,SSW,20,30,43,95,4.9,5.6,,,4800,2.6,4,,,,5.7,5.5
"2021-12-02 05:00:00 EST",1638439200,96.3,100.14,SW,22,35,50,96,5,5.5,,,4800,2.5,4,,,,5.5,4.8
"2021-12-02 04:00:00 EST",1638435600,96.37,100.22,SSW,21,28,41,99,4.7,4.8,,,2400,2.3,4,,,,4.8,4.4
"2021-12-02 03:00:00 EST",1638432000,96.47,100.32,SSW,20,22,,99,4.3,4.4,,,1600,2.2,4,,,,4.4,3.7
"2021-12-02 02:00:00 EST",1638428400,96.57,100.43,S,19,21,,99,3.7,3.8,,,800,2.2,,,,,3.8,3.4
"2021-12-02 01:00:00 EST",1638424800,96.7,100.56,SSW,20,21,,99,3.3,3.4,,,2000,2.3,4,,,,3.4,2.8
"2021-12-02 00:00:00 EST",1638421200,96.83,100.7,S,18,17,,98,2.5,2.8,,,2400,2.3,4,,,,3.1,2.8
"2021-12-01 23:00:00 EST",1638417600,96.9,100.78,S,17,18,,88,1.2,3,,,16100,2.2,4,,,,3.1,2.3
"2021-12-01 22:00:00 EST",1638414000,97.03,100.92,SSE,16,15,,81,-0.6,2.3,,,16100,2.1,4,,,,2.3,2
"2021-12-01 21:00:00 EST",1638410400,97.17,101.07,SE,14,15,,79,-1.3,2,,,16100,2.2,4,,,,2.2,1.1
"2021-12-01 20:00:00 EST",1638406800,97.33,101.24,SE,14,11,,84,-1.4,1,,,16100,2.2,4,,,,1,0.4
"2021-12-01 19:00:00 EST",1638403200,97.38,101.29,SE,13,15,,84,-1.4,1,,,16100,,1,,,,1.7,0.9
"2021-12-01 18:00:00 EST",1638399600,97.57,101.49,SSE,15,17,,82,-1,1.7,,,16100,2.2,4,,,,2.1,1.7
"2021-12-01 17:00:00 EST",1638396000,97.66,101.58,S,17,13,,83,-0.7,2,,,16100,2.2,4,,,,2.6,2
"2021-12-01 16:00:00 EST",1638392400,97.67,101.58,S,18,17,,77,-0.9,2.7,,,16100,2.2,4,,,,2.9,2.6
"2021-12-01 15:00:00 EST",1638388800,97.7,101.61,S,19,9,,73,-1.6,2.7,,,16100,2.1,4,,,,2.8,2.6
"2021-12-01 14:00:00 EST",1638385200,97.74,101.65,S,19,17,30,71,-1.9,2.8,,,16100,2.1,3,,,,3.3,2.8
"2021-12-01 13:00:00 EST",1638381600,97.82,101.74,SSW,21,18,30,67,-2.3,3.2,,,16100,1.9,0,,,,3.3,2.7
