date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2021-12-03 19:00:00 EST",1638576000,98.47,101.89,W,27,8,,76,-2.8,0.9,,,24100,,,8,,,1.1,0.8
"2021-12-03 18:00:00 EST",1638572400,98.47,101.89,W,27,8,,79,-2.2,1,,,24100,2.1,,8,,,1.2,1
"2021-12-03 17:00:00 EST",1638568800,98.45,101.87,W,27,11,,78,-2.3,1.2,,,24100,2.1,,8,,,1.4,1.2
"2021-12-03 16:00:00 EST",1638565200,98.41,101.82,W,27,12,,78,-2.1,1.4,,,24100,2.1,,8,,,1.8,1.4
"2021-12-03 15:00:00 EST",1638561600,98.32,101.73,SW,22,3,,75,-2.3,1.7,,,24100,2.1,,8,,,1.9,1.3
"2021-12-03 14:00:00 EST",1638558000,98.42,101.83,WSW,26,7,,79,-1.8,1.5,,,24100,2.1,,8,,,1.5,1.1
"2021-12-03 13:00:00 EST",1638554400,98.45,101.87,NW,32,5,,80,-1.8,1.2,,,19300,2.1,,8,,,1.3,1.1
"2021-12-03 12:00:00 EST",1638550800,98.5,101.92,NW,32,5,,76,-2.5,1.2,,,24100,2.2,,8,,,1.4,0.8
"2021-12-03 11:00:00 EST",1638547200,98.56,101.98,NNW,35,8,,76,-3,0.8,,,24100,2.2,,8,,,0.9,0.8
"2021-12-03 10:00:00 EST",1638543600,98.54,101.96,W,26,5,,79,-2.5,0.8,,,24100,2.1,,8,,,0.8,0.6
"2021-12-03 09:00:00 EST",1638540000,98.5,101.91,NW,31,6,,79,-2.6,0.6,,,24100,2,,8,,,0.7,0.6
"2021-12-03 08:00:00 EST",1638536400,98.48,101.89,NNW,34,9,,86,-1.4,0.6,,,24100,2,,8,,,0.9,0.6
"2021-12-03 07:00:00 EST",1638532800,98.41,101.82,W,27,8,,84,-1.6,0.8,,,24100,2,,8,,,0.8,0.7
"2021-12-03 06:00:00 EST",1638529200,98.33,101.73,WNW,30,13,,83,-1.8,0.8,,,24100,2,,8,,,0.8,0.5
"2021-12-03 05:00:00 EST",1638525600,98.22,101.61,W,27,5,,90,-0.9,0.6,,,24100,2,,8,,,0.6,0.4
"2021-12-03 04:00:00 EST",1638522000,98.19,101.58,WNW,30,4,,92,-0.5,0.6,,,24100,1.9,,8,,,0.7,0.5
"2021-12-03 03:00:00 EST",1638518400,98.2,101.59,NW,30,7,,93,-0.5,0.6,,,24140,1.9,,8,,,0.7,0.5
"2021-12-03 02:00:00 EST",1638514800,98.16,101.54,WNW,30,13,,92,-0.6,0.6,,,16100,1.9,,8,,,0.7,0.5
"2021-12-03 01:00:00 EST",1638511200,98.13,101.51,WNW,30,15,,91,-0.7,0.6,,,24100,1.9,,6,,,0.7,0.5
"2021-12-03 00:00:00 EST",1638507600,98.05,101.42,WNW,30,13,,89,-1,0.6,,,24100,1.9,,8,,,0.7,0.5
"2021-12-02 23:00:00 EST",1638504000,97.98,101.35,WNW,29,19,30,90,-0.9,0.6,,,24100,1.9,,4,,,1.4,0.6
"2021-12-02 22:00:00 EST",1638500400,97.94,101.31,WNW,30,18,29,85,-0.8,1.4,,,24100,1.9,,6,,,2.6,1.4
"2021-12-02 21:00:00 EST",1638496800,97.83,101.2,NW,32,20,31,77,-1,2.6,,,24100,1.8,,6,,,2.8,2.5
"2021-12-02 20:00:00 EST",1638493200,97.71,101.07,WNW,30,18,28,73,-1.9,2.6,,,24100,1.8,,4,,,3.4,2.5
"2021-12-02 19:00:00 EST",1638489600,97.57,100.93,NW,32,18,31,79,-0.1,3.2,,,24100,1.8,,5,,,4.7,3
"2021-12-02 18:00:00 EST",1638486000,97.43,100.78,WNW,29,25,36,83,1.3,3.9,,,24100,1.8,,6,,,5.4,3.9
"2021-12-02 17:00:00 EST",1638482400,97.29,100.63,WNW,29,28,43,72,0.7,5.4,,,24100,1.9,,6,,,6.3,5.4
"2021-12-02 16:00:00 EST",1638478800,97.14,100.47,WNW,28,22,46,70,1.1,6.2,,,24100,1.9,,7,,,6.9,6.2
