date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2021-12-03 19:00:00 EST",1638576000,100.09,101.84,NW,32,8,,69,-6.8,-1.8,-5,,16100,,4,,,,-1.5,-2
"2021-12-03 18:00:00 EST",1638572400,100.12,101.87,NNW,33,11,,65,-7.3,-1.5,-5,,16100,1.9,3,,,,-1.2,-1.8
"2021-12-03 17:00:00 EST",1638568800,100.09,101.84,N,35,9,,66,-7,-1.4,-5,,16100,2,3,,,,0.3,-1.4
"2021-12-03 16:00:00 EST",1638565200,100.05,101.8,WNW,29,11,,59,-7,0.2,,,16090,2,0,,,,1.3,0.2
"2021-12-03 15:00:00 EST",1638561600,100,101.74,NW,31,15,,55,-7,1.1,,,16100,2,0,,,,1.3,0.8
"2021-12-03 14:00:00 EST",1638558000,100.04,101.78,WNW,30,21,,52,-7.9,0.9,,,16100,1.9,0,,,,1.3,-0.1
"2021-12-03 13:00:00 EST",1638554400,100.05,101.79,W,28,18,,54,-7.4,0.9,,,16100,1.9,3,,,,1.6,0
"2021-12-03 12:00:00 EST",1638550800,100.11,101.86,WNW,30,17,28,60,-6.9,-0.1,-5,,16100,1.8,2,,,,0.2,-0.7
"2021-12-03 11:00:00 EST",1638547200,100.14,101.89,NNW,34,9,,64,-6.8,-0.8,-4,,16100,1.9,4,,,,-0.7,-1.6
"2021-12-03 10:00:00 EST",1638543600,100.16,101.91,N,35,13,,67,-6.8,-1.4,-6,,16100,1.9,4,,,,-1,-1.7
"2021-12-03 09:00:00 EST",1638540000,100.12,101.86,N,35,13,,68,-6.6,-1.5,-6,,16100,1.8,3,,,,-1.1,-1.6
"2021-12-03 08:00:00 EST",1638536400,100.02,101.76,NNW,33,15,,72,-5.9,-1.5,-6,,16100,1.8,3,,,,-1.2,-1.5
"2021-12-03 07:00:00 EST",1638532800,99.95,101.69,N,36,8,,74,-5.3,-1.3,-4,,16100,1.8,4,,,,-0.9,-1.3
"2021-12-03 06:00:00 EST",1638529200,99.86,101.59,WNW,30,15,,73,-5.2,-1,-6,,16100,1.7,4,,,,-0.9,-1
"2021-12-03 05:00:00 EST",1638525600,99.73,101.46,NW,32,17,,73,-5.2,-0.9,-6,,16100,1.7,4,,,,-0.3,-0.9
"2021-12-03 04:00:00 EST",1638522000,99.71,101.44,NNW,33,15,,74,-4.4,-0.3,-5,,16100,1.6,4,,,,0.5,-0.3
"2021-12-03 03:00:00 EST",1638518400,99.66,101.39,WNW,30,11,,73,-4.1,0.2,,,16100,,4,,,,0.2,-0.1
"2021-12-03 02:00:00 EST",1638514800,99.6,101.32,NW,32,13,,70,-4.8,0,-4,,16100,,4,,,,0.2,0
"2021-12-03 01:00:00 EST",1638511200,99.55,101.27,NW,31,17,,69,-5,0.1,,,16100,1.6,4,,,,0.2,0
"2021-12-03 00:00:00 EST",1638507600,99.44,101.16,NNW,34,17,,67,-5.4,0,-5,,16100,1.6,4,,,,0.5,0
"2021-12-02 23:00:00 EST",1638504000,99.32,101.04,NNW,33,24,35,67,-4.9,0.5,,,16100,1.6,4,,,,1.4,0.5
"2021-12-02 22:00:00 EST",1638500400,99.18,100.89,NW,31,26,50,67,-4.1,1.4,,,16100,1.6,4,,,,2.6,1.4
"2021-12-02 21:00:00 EST",1638496800,98.98,100.69,NW,32,30,48,70,-2.4,2.6,,,16100,1.6,4,,,,3.5,2.6
"2021-12-02 20:00:00 EST",1638493200,98.82,100.53,WNW,30,32,50,73,-0.9,3.5,,,16100,1.5,4,,,,3.8,3.4
"2021-12-02 19:00:00 EST",1638489600,98.66,100.36,WNW,29,30,50,83,1.2,3.8,,,16100,1.5,4,,,,5.2,3.8
"2021-12-02 18:00:00 EST",1638486000,98.52,100.22,WNW,29,35,55,71,0.2,5.1,,,16100,1.6,3,,,,6.4,5.1
"2021-12-02 17:00:00 EST",1638482400,98.39,100.07,W,28,21,37,66,0.3,6.3,,,16100,1.6,4,,,,6.8,6.3
"2021-12-02 16:00:00 EST",1638478800,98.25,99.93,W,28,34,48,63,0.3,6.8,,,16100,1.7,3,,,,7.5,6.8
"2021-12-02 15:00:00 EST",1638475200,98.1,99.78,W,26,34,45,69,1.7,6.9,,,16100,1.8,4,,,,9.2,6.5
"2021-12-02 14:00:00 EST",1638471600,97.96,99.64,W,26,37,55,56,0.8,9.2,,,16100,1.9,3,,,,9.8,8.7
"2021-12-02 13:00:00 EST",1638468000,97.92,99.59,W,28,37,48,64,2.7,9.1,,,16100,2.1,4,,,,10,9.1
"2021-12-02 12:00:00 EST",1638464400,97.87,99.54,WSW,24,22,41,71,5,10,,,16100,2.2,4,,,,10.1,7.9
"2021-12-02 11:00:00 EST",1638460800,97.97,99.65,SW,23,13,,92,6.6,7.8,,,11300,2.2,4,,,,7.8,7.5
"2021-12-02 10:00:00 EST",1638457200,98.02,99.7,SW,22,35,52,94,6.6,7.5,,,11300,2.1,4,,,,7.5,6.7
"2021-12-02 09:00:00 EST",1638453600,98.03,99.71,SSW,21,28,45,98,6.4,6.7,,,8100,2.1,4,,,,6.8,6.7
"2021-12-02 08:00:00 EST",1638450000,98.17,99.85,SSW,21,22,37,97,6.3,6.7,,,9700,2.1,4,,,,6.7,6.5
"2021-12-02 07:00:00 EST",1638446400,98.26,99.96,SSW,21,18,35,97,6.2,6.6,,,8100,2.1,4,,,,6.8,6.6
"2021-12-02 06:00:00 EST",1638442800,98.36,100.06,SW,23,21,42,97,6.4,6.8,,,8100,2,4,,,,6.9,6.5
"2021-12-02 05:00:00 EST",1638439200,98.42,100.12,SSW,21,26,45,96,6,6.6,,,11300,2,4,,,,6.6,6.1
"2021-12-02 04:00:00 EST",1638435600,98.51,100.21,S,19,17,30,96,5.5,6.1,,,16100,2.1,4,,,,6.2,5.3
"2021-12-02 03:00:00 EST",1638432000,98.66,100.37,S,17,11,,96,4.6,5.2,,,14500,,4,,,,5.2,4.5
"2021-12-02 02:00:00 EST",1638428400,98.82,100.53,S,18,11,,94,3.6,4.5,,,8100,,4,,,,5.1,4.5
"2021-12-02 01:00:00 EST",1638424800,98.95,100.66,S,17,13,,80,1.9,5.1,,,16100,2,4,,,,5.2,5.1
"2021-12-02 00:00:00 EST",1638421200,99.07,100.78,S,17,15,,77,1.4,5.1,,,16100,2,4,,,,5.1,4.3
"2021-12-01 23:00:00 EST",1638417600,99.17,100.89,SSE,15,11,,75,0.3,4.3,,,16100,2,4,,,,4.4,4.2
"2021-12-01 22:00:00 EST",1638414000,99.34,101.06,SSE,15,11,,72,-0.4,4.2,,,16100,2.1,4,,,,4.3,4
"2021-12-01 21:00:00 EST",1638410400,99.49,101.22,SSE,15,8,,74,-0.2,4,,,16100,2.1,4,,,,4,3.8
"2021-12-01 20:00:00 EST",1638406800,99.64,101.37,S,18,15,,75,0,4,,,16100,2.1,4,,,,4.3,4
"2021-12-01 19:00:00 EST",1638403200,99.78,101.51,S,19,15,32,65,-1.7,4.3,,,16100,,4,,,,4.5,3.3
"2021-12-01 18:00:00 EST",1638399600,99.91,101.65,SSW,20,13,28,84,0.9,3.3,,,16100,2.1,4,,,,4,3.3
"2021-12-01 17:00:00 EST",1638396000,99.91,101.64,S,18,8,,66,-1.8,4,,,16100,2.1,4,,,,4,3.8
"2021-12-01 16:00:00 EST",1638392400,99.95,101.68,SSW,20,8,,66,-2,3.9,,,16100,2.1,4,,,,3.9,3.8
"2021-12-01 15:00:00 EST",1638388800,99.95,101.68,S,19,17,,70,-1.1,3.9,,,16100,2.2,2,,,,3.9,3.7
"2021-12-01 14:00:00 EST",1638385200,100.01,101.74,SSW,20,17,,68,-1.6,3.7,,,16100,2.3,1,,,,4.8,3.7
"2021-12-01 13:00:00 EST",1638381600,100.06,101.79,S,19,17,,58,-2.9,4.7,,,16100,2.3,3,,,,4.9,3.5
"2021-12-01 12:00:00 EST",1638378000,100.15,101.89,WSW,24,8,,61,-3.4,3.4,,,16100,2.2,3,,,,3.4,2.8
"2021-12-01 11:00:00 EST",1638374400,100.24,101.98,WSW,25,13,,65,-3.2,2.8,,,16100,1.8,4,,,,2.8,2.3
"2021-12-01 10:00:00 EST",1638370800,100.26,102,SW,23,11,,73,-2,2.3,,,16100,1.5,2,,,,2.3,1.1
"2021-12-01 09:00:00 EST",1638367200,100.23,101.97,SSW,21,4,,78,-2.3,1.1,,,16100,1.3,3,,,,1.1,-0.4
"2021-12-01 08:00:00 EST",1638363600,100.12,101.86,W,27,4,,80,-2.8,0.3,,,16100,1.5,4,,,,0.7,0.3
"2021-12-01 07:00:00 EST",1638360000,100.06,101.8,W,26,8,,78,-3,0.4,,,16100,1.5,4,,,,0.9,0.1
"2021-12-01 06:00:00 EST",1638356400,100,101.74,W,28,8,,78,-2.9,0.5,,,16100,1.6,4,,,,1.1,0.5
"2021-12-01 05:00:00 EST",1638352800,99.94,101.68,W,26,13,,74,-3.4,0.8,,,16100,1.6,3,,,,1.8,0.8
"2021-12-01 04:00:00 EST",1638349200,99.84,101.58,W,28,17,28,73,-2.6,1.8,,,16100,1.6,3,,,,2.3,1.8
"2021-12-01 03:00:00 EST",1638345600,99.81,101.55,W,26,24,35,75,-1.7,2.2,,,16100,,4,,,,2.3,1.7
"2021-12-01 02:00:00 EST",1638342000,99.68,101.41,W,27,15,,88,-0.1,1.7,,,16100,,2,,,,2.4,1.7
"2021-12-01 01:00:00 EST",1638338400,99.56,101.29,W,26,18,28,84,0,2.4,,,16100,1.6,4,,,,2.4,2.3
"2021-12-01 00:00:00 EST",1638334800,99.47,101.2,WSW,25,15,,88,0.4,2.2,,,16100,1.9,3,,,,2.6,2.2
"2021-11-30 23:00:00 EST",1638331200,99.39,101.12,WSW,25,18,,91,0.9,2.2,,,16100,2.3,4,,,,2.2,1.9
"2021-11-30 22:00:00 EST",1638327600,99.33,101.06,WSW,24,8,,94,1,1.9,,,16100,2.6,4,,,,1.9,1.7
"2021-11-30 21:00:00 EST",1638324000,99.29,101.02,WSW,24,15,,95,1.1,1.8,,,9700,2.6,4,,,,1.9,1.5
"2021-11-30 20:00:00 EST",1638320400,99.23,100.96,WSW,25,11,,98,1.3,1.6,,,8100,2.4,4,,,,1.6,1
"2021-11-30 19:00:00 EST",1638316800,99.23,100.97,WSW,24,5,,100,1,1,,,4800,2.3,4,,,,1,0.4
"2021-11-30 18:00:00 EST",1638313200,99.21,100.95,N,36,0,,100,0.6,0.6,,,4800,2.1,4,,,,0.6,0.5
