date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2021-12-03 19:00:00 EST",1638576000,99.6,101.93,SSE,16,5,,91,0.7,2,,,16100,,4,,,,2,1.9
"2021-12-03 18:00:00 EST",1638572400,99.64,101.97,SE,14,4,,91,0.7,2,,,16100,2.6,4,,,,2,1.9
"2021-12-03 17:00:00 EST",1638568800,99.59,101.93,SE,13,4,,90,0.4,1.9,,,16100,2.7,4,,,,2.2,1.9
"2021-12-03 16:00:00 EST",1638565200,99.55,101.88,N,36,0,,88,0.2,2,,,16100,2.7,4,,,,2.1,1.8
"2021-12-03 15:00:00 EST",1638561600,99.51,101.84,SSE,15,5,,90,0.3,1.8,,,16100,2.7,4,,,,1.9,1.6
"2021-12-03 14:00:00 EST",1638558000,99.58,101.92,S,17,5,,91,0.3,1.6,,,16100,2.7,4,,,,1.7,1.1
"2021-12-03 13:00:00 EST",1638554400,99.65,101.99,N,36,0,,93,0.2,1.2,,,16100,2.7,4,,,,1.4,0.8
"2021-12-03 12:00:00 EST",1638550800,99.74,102.08,N,36,0,,92,-0.3,0.9,,,14480,2.7,4,,,,0.9,0.6
"2021-12-03 11:00:00 EST",1638547200,99.78,102.12,N,36,0,,95,-0.1,0.6,,,4020,2.5,4,,,,0.7,0.4
"2021-12-03 10:00:00 EST",1638543600,99.8,102.14,NNW,34,4,,93,-0.3,0.6,,,4830,2.4,4,,,,0.9,0.5
"2021-12-03 09:00:00 EST",1638540000,99.79,102.12,N,35,8,,87,-1,0.9,,,2410,2.4,4,,,,1.8,0.9
"2021-12-03 08:00:00 EST",1638536400,99.74,102.07,NW,31,5,,76,-2.1,1.7,,,16100,2.4,4,,,,1.9,1.7
"2021-12-03 07:00:00 EST",1638532800,99.67,101.99,NNW,34,8,,74,-2.3,1.8,,,16100,2.4,4,,,,1.9,1.5
"2021-12-03 06:00:00 EST",1638529200,99.59,101.91,NNW,34,9,,75,-2.3,1.7,,,16100,2.5,4,,,,1.8,0.6
"2021-12-03 05:00:00 EST",1638525600,99.49,101.81,WSW,25,4,,85,-1.5,0.7,,,16100,2.4,4,,,,1.1,0.5
"2021-12-03 04:00:00 EST",1638522000,99.53,101.85,WNW,29,5,,79,-2,1.2,,,16100,2.3,4,,,,1.5,1
"2021-12-03 03:00:00 EST",1638518400,99.49,101.8,NW,32,9,,75,-2.6,1.4,,,16100,2.2,4,,,,1.6,1.1
"2021-12-03 02:00:00 EST",1638514800,99.43,101.74,NW,31,8,,75,-2.8,1.2,,,16100,2.1,1,,,,2.2,1.1
"2021-12-03 01:00:00 EST",1638511200,99.44,101.75,NW,31,8,,73,-2.2,2.1,,,16100,2,4,,,,3.2,1.6
"2021-12-03 00:00:00 EST",1638507600,99.4,101.7,NW,32,21,,64,-3.1,3,,,16100,1.9,4,,,,3.8,2.9
"2021-12-02 23:00:00 EST",1638504000,99.37,101.67,NW,31,17,30,64,-2.5,3.7,,,16100,1.9,3,,,,4.1,3.7
"2021-12-02 22:00:00 EST",1638500400,99.25,101.55,NW,32,17,33,65,-1.8,4.3,,,16100,1.8,3,,,,4.8,4
"2021-12-02 21:00:00 EST",1638496800,99.18,101.48,NW,32,17,32,68,-0.5,4.9,,,16100,2,2,,,,5.9,4.8
"2021-12-02 20:00:00 EST",1638493200,99.03,101.33,NW,32,26,35,64,-0.4,5.9,,,16100,2.1,3,,,,7.1,5.8
"2021-12-02 19:00:00 EST",1638489600,98.87,101.16,NW,31,26,41,56,-1.1,7.1,,,16100,2.2,2,,,,7.1,6.5
"2021-12-02 18:00:00 EST",1638486000,98.74,101.03,WNW,29,21,42,55,-1.4,7,,,16100,2.3,0,,,,7.8,6.8
"2021-12-02 17:00:00 EST",1638482400,98.62,100.9,WNW,30,34,59,50,-1.9,7.9,,,16100,2.2,1,,,,8.9,7.9
"2021-12-02 16:00:00 EST",1638478800,98.48,100.76,NW,32,30,42,50,-1.1,8.7,,,16100,2.1,3,,,,9.9,8.7
"2021-12-02 15:00:00 EST",1638475200,98.32,100.59,NW,31,35,54,54,0.5,9.4,,,16100,2.1,3,,,,10.9,9.4
"2021-12-02 14:00:00 EST",1638471600,98.14,100.41,NNW,33,34,48,56,2.7,11,,,16100,2.1,3,,,,13.3,11
"2021-12-02 13:00:00 EST",1638468000,98.03,100.29,WNW,29,37,55,52,2.3,11.8,,,16100,2.1,2,,,,12.9,11.8
"2021-12-02 12:00:00 EST",1638464400,97.98,100.24,W,28,45,63,51,2.4,12.2,,,16100,2.2,1,,,,12.6,11.5
"2021-12-02 11:00:00 EST",1638460800,97.98,100.24,W,26,35,46,62,4.6,11.5,,,16100,2.3,0,,,,11.5,9.8
"2021-12-02 10:00:00 EST",1638457200,97.91,100.18,WSW,25,26,41,71,4.7,9.7,,,16100,2.4,0,,,,9.7,8.5
"2021-12-02 09:00:00 EST",1638453600,97.91,100.18,SW,23,28,39,76,4.5,8.5,,,16100,2.4,0,,,,8.5,7.6
"2021-12-02 08:00:00 EST",1638450000,97.95,100.22,WSW,24,24,50,81,4.6,7.6,,,16100,2.4,0,,,,8.4,7.6
"2021-12-02 07:00:00 EST",1638446400,97.92,100.19,SW,23,26,50,79,4.8,8.2,,,16100,2.4,3,,,,8.6,7.3
"2021-12-02 06:00:00 EST",1638442800,97.95,100.23,SW,22,21,34,90,5.6,7.2,,,8100,2.6,4,,,,7.3,7
"2021-12-02 05:00:00 EST",1638439200,97.96,100.24,SSW,20,24,41,90,5.7,7.2,,,8100,2.6,4,,,,7.6,7.2
"2021-12-02 04:00:00 EST",1638435600,98.14,100.42,SW,22,24,41,88,5.8,7.6,,,11300,2.6,4,,,,7.6,7.3
"2021-12-02 03:00:00 EST",1638432000,98.21,100.49,SW,23,24,39,90,5.9,7.4,,,9700,2.6,4,,,,7.4,6.5
"2021-12-02 02:00:00 EST",1638428400,98.3,100.59,SW,22,15,28,96,5.9,6.5,,,4800,2.7,4,,,,6.5,6.1
"2021-12-02 01:00:00 EST",1638424800,98.38,100.67,SSW,21,18,30,97,5.7,6.1,,,3600,2.7,4,,,,6.1,5.5
"2021-12-02 00:00:00 EST",1638421200,98.47,100.76,SSW,21,21,30,97,5.1,5.5,,,2800,2.5,4,,,,5.6,5.5
"2021-12-01 23:00:00 EST",1638417600,98.5,100.8,SSW,21,22,37,97,5.1,5.5,,,6400,2.5,4,,,,5.5,5
"2021-12-01 22:00:00 EST",1638414000,98.6,100.9,S,19,18,30,98,4.7,5,,,4000,2.4,4,,,,5,4.6
"2021-12-01 21:00:00 EST",1638410400,98.72,101.03,S,17,13,,98,4.3,4.6,,,3600,2.5,4,,,,4.6,4.6
"2021-12-01 20:00:00 EST",1638406800,98.79,101.11,SSE,16,15,,98,4.3,4.6,,,3200,2.7,4,,,,4.6,4.3
"2021-12-01 19:00:00 EST",1638403200,98.88,101.2,SSE,16,15,,98,4,4.3,,,4800,,4,,,,4.3,3.7
"2021-12-01 18:00:00 EST",1638399600,98.97,101.29,SE,14,13,,97,3.3,3.7,,,4800,2.9,4,,,,3.7,3.5
"2021-12-01 17:00:00 EST",1638396000,99.06,101.39,ESE,11,9,,93,2.6,3.6,,,4800,2.6,4,,,,4.2,3.6
"2021-12-01 16:00:00 EST",1638392400,99.1,101.42,ENE,6,9,,85,1.8,4.1,,,16100,2.4,4,,,,4.4,4.1
"2021-12-01 15:00:00 EST",1638388800,99.07,101.39,SSE,15,13,,79,1,4.3,,,16100,2.3,4,,,,4.4,4.2
"2021-12-01 14:00:00 EST",1638385200,99.13,101.45,S,17,17,28,76,0.4,4.2,,,16100,2.1,4,,,,4.5,4.2
"2021-12-01 13:00:00 EST",1638381600,99.31,101.63,S,18,11,,73,-0.2,4.2,,,16100,2.2,4,,,,4.2,3.7
"2021-12-01 12:00:00 EST",1638378000,99.48,101.81,S,18,11,,75,-0.2,3.8,,,16100,2.4,3,,,,3.8,2.7
